title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2016 Kia Sportage Lx,Ref# 422343,Abu Dhabi,"218,604 km",GCC Specs,Automatic,2000 cc,"AED 26,760","AED 16,000",Ended,"Jan 28, 2026  at 6:50 PM",Wednesday at 6:35 PM,2016_Kia_Sportage_Lx_Wednesday_635PM,2026-01-28 17:02:18.425346
2021 Maserati Levante Standard,Ref# 421053,Abu Dhabi,"64,553 km",GCC Specs,Automatic,3000 cc,"AED 198,550","AED 133,000",Ended,"Jan 28, 2026  at 6:47 PM",Wednesday at 6:28 PM,2021_Maserati_Levante_Standard_Wednesday_628PM,2026-01-28 17:02:30.582455
2013 Chevrolet Trailblazer Lt,Ref# 422782,Sharjah,"197,308 km",GCC Specs,Automatic,3600 cc,"AED 18,955","AED 7,500",Ended,"Jan 28, 2026  at 6:25 PM",Wednesday at 6:10 PM,2013_Chevrolet_Trailblazer_Lt_Wednesday_610PM,2026-01-28 17:02:42.666768
2023 Mercedes-Benz V-Class V 250,Ref# 420677,Dubai,"114,343 km",GCC Specs,Automatic,2000 cc,"AED 188,100","AED 116,000",Ended,"Jan 28, 2026  at 6:06 PM",Wednesday at 5:50 PM,2023_MercedesBenz_VClass_V_250_Wednesday_550PM,2026-01-28 17:03:12.101983
2018 Dodge Charger Srt8 Hellcat,Ref# 421550,Dubai,"74,162 km",GCC Specs,Automatic,6200 cc,"AED 156,750","AED 94,000",Ended,"Jan 28, 2026  at 6:09 PM",Wednesday at 5:50 PM,2018_Dodge_Charger_Srt8_Hellcat_Wednesday_550PM,2026-01-28 17:03:24.030000
2015 Audi A6 35 TFSI,Ref# 421531,Abu Dhabi,"236,142 km",GCC Specs,Automatic,2000 cc,"AED 27,875","AED 16,500",Ended,"Jan 28, 2026  at 6:06 PM",Wednesday at 5:45 PM,2015_Audi_A6_35_TFSI_Wednesday_545PM,2026-01-28 17:03:36.041121
2024 Toyota Land Cruiser GR Sport,Ref# 422746,Abu Dhabi,"39,409 km",GCC Specs,Automatic,3500 cc,"AED 395,200","AED 308,000",Ended,"Jan 28, 2026  at 6:07 PM",Wednesday at 5:45 PM,2024_Toyota_Land_Cruiser_GR_Sport_Wednesday_545PM,2026-01-28 17:03:52.878526
2020 Porsche Cayenne Standard,Ref# 401470,Dubai,"88,438 km",GCC Specs,Automatic,3000 cc,"AED 229,900","AED 149,000",Ended,"Jan 28, 2026  at 5:52 PM",Wednesday at 5:35 PM,2020_Porsche_Cayenne_Standard_Wednesday_535PM,2026-01-28 17:04:04.884982
2024 Toyota Corolla Cross L,Ref# 422485,Abu Dhabi,"38,316 km",GCC Specs,Automatic,1800 cc,"AED 79,500","AED 60,000",Ended,"Jan 28, 2026  at 5:52 PM",Wednesday at 5:32 PM,2024_Toyota_Corolla_Cross_L_Wednesday_532PM,2026-01-28 17:04:16.892951
2018 BMW M3 Standard,Ref# 421119,Dubai,"65,683 km",GCC Specs,Automatic,3000 cc,"AED 177,650","AED 140,000",,,Thursday at 1:45 PM,2018_BMW_M3_Standard_Thursday_145PM,2026-01-29 08:17:53.684928
